code,name,pbr,roe,equity_ratio,turnover_m,monopoly,score
6619,ダブル・スコープ,0.29,-10.8,81.4,975.0,,0.582
9533,東邦瓦斯,0.24,4.8,59.1,794.0,,0.45
9602,東宝,0.41,8.0,76.0,4910.0,,0.446
6592,マブチモーター,0.58,6.4,90.3,1741.0,,0.382
5541,大平洋金属,0.64,0.2,94.2,682.0,,0.343
2168,パソナグループ,0.42,-1.4,56.9,633.0,,0.33
3350,メタプラネット,0.68,-40.0,90.8,7063.0,,0.291
7313,テイ・エス　テック,0.65,2.6,76.7,652.0,,0.266
5401,日本製鉄,0.54,4.0,53.9,15447.0,,0.249
4547,キッセイ薬品工業,0.71,6.3,81.4,535.0,,0.238
9404,日本テレビホールディングス,0.7,5.2,80.4,1697.0,,0.238
9409,テレビ朝日ホールディングス,0.7,5.4,80.0,1040.0,,0.237
3291,飯田グループホールディングス,0.59,6.4,52.7,1289.0,,0.218
6737,ＥＩＺＯ,0.73,4.8,78.1,693.0,,0.214
6958,日本シイエムケイ,0.66,2.4,54.8,767.0,,0.186
9101,日本郵船,0.72,6.3,66.0,15939.0,,0.183
7270,ＳＵＢＡＲＵ,0.66,4.7,52.5,10213.0,,0.181
7240,ＮＯＫ,0.75,7.4,69.4,946.0,,0.172
4118,カネカ,0.7,6.3,53.7,1237.0,,0.163
3405,クラレ,0.73,5.4,57.9,2654.0,,0.157
7226,極東開発工業,0.73,4.4,58.8,682.0,,0.156
4634,ａｒｔｉｅｎｃｅ,0.75,7.9,59.9,520.0,,0.153
4114,日本触媒,0.78,4.3,70.3,1083.0,,0.152
5423,東京製鐵,0.8,0.0,71.7,513.0,,0.145
6104,芝浦機械,0.77,1.7,63.3,964.0,,0.144
2001,ニップン,0.78,7.5,64.7,553.0,,0.141
6474,不二越,0.73,3.6,52.6,513.0,,0.141
9075,福山通運,0.77,6.0,56.5,838.0,,0.129
5563,新日本電工,0.84,2.0,76.0,581.0,,0.124
7259,アイシン,0.78,6.8,55.1,4691.0,,0.123
9401,ＴＢＳホールディングス,0.85,4.3,72.9,1576.0,,0.109
8595,ジャフコ　グループ,0.89,4.8,83.6,807.0,,0.096
6962,大真空,0.82,0.3,50.3,1936.0,,0.092
8141,新光商事,0.86,2.7,63.8,1081.0,,0.092
6473,ジェイテクト,0.82,6.3,51.1,2820.0,,0.09
5482,愛知製鋼,0.85,4.8,57.0,537.0,,0.087
4092,日本化学工業,0.86,6.0,63.1,2926.0,,0.086
5451,ヨドコウ,0.9,4.9,81.4,523.0,,0.085
5110,住友ゴム工業,0.84,7.6,50.4,4994.0,,0.081
2502,アサヒグループホールディングス,0.85,6.0,50.5,9604.0,ビール(スーパードライ)(国内寡占),0.078
5901,東洋製罐グループホールディングス,0.87,4.3,57.8,1571.0,,0.076
6471,日本精工,0.87,3.6,53.7,2519.0,,0.072
9107,川崎汽船,0.91,5.3,77.3,12281.0,,0.067
6203,豊和工業,0.89,5.1,55.0,2479.0,,0.061
4023,クレハ,0.89,4.5,51.2,1243.0,,0.055
5715,古河機械金属,0.9,3.5,54.2,945.0,,0.055
6201,豊田自動織機,0.91,3.8,55.0,19226.0,,0.051
2296,伊藤ハム米久ホールディングス,0.91,6.3,54.1,864.0,,0.05
6902,デンソー,0.93,7.0,63.6,13833.0,,0.047
6794,フォスター電機,0.93,7.4,66.3,572.0,,0.046
7744,ノーリツ鋼機,0.94,7.3,75.7,575.0,,0.045
6770,アルプスアルパイン,0.93,6.7,55.6,3625.0,,0.041
2121,ＭＩＸＩ,0.94,7.4,66.9,648.0,,0.038
7911,ＴＯＰＰＡＮホールディングス,0.93,4.1,57.4,7589.0,,0.037
5232,住友大阪セメント,0.94,5.1,54.3,1758.0,,0.034
6810,マクセル,0.95,7.7,57.2,572.0,,0.027
3765,ガンホー・オンライン・エンターテイメント,0.97,1.1,89.3,526.0,,0.025
6302,住友重機械工業,0.95,5.0,52.0,3409.0,,0.025
7912,大日本印刷,0.96,8.0,61.1,5845.0,,0.025
3402,東レ,0.96,5.0,53.6,5306.0,,0.023
5214,日本電気硝子,0.97,4.7,70.7,4877.0,,0.02
4078,堺化学工業,0.97,5.7,64.4,3447.0,,0.017
9076,セイノーホールディングス,0.97,6.2,55.5,1169.0,,0.016
1663,Ｋ＆Ｏエナジーグループ,0.98,5.9,85.2,524.0,,0.014
2695,くら寿司,0.98,4.7,55.3,775.0,,0.014
