code,name,entry,exit,held_days,entry_px,exit_px,return,reason
9362,兵機海運,2025-01-06,2025-04-18,70,3549.5,3273.8,-7.77,時間切れ
1938,日本リーテック,2025-01-06,2025-04-18,70,1173.4,1530.2,30.41,時間切れ
4221,大倉工業,2025-01-06,2025-04-18,70,2894.6,3690.1,27.48,時間切れ
6419,マースグループホールディングス,2025-01-06,2025-04-18,70,3106.8,2831.3,-8.87,時間切れ
7202,いすゞ自動車,2025-01-06,2025-04-18,70,2008.7,1777.5,-11.51,時間切れ
3248,アールエイジ,2025-05-07,2025-08-15,70,787.3,824.8,4.76,時間切れ
4243,ニックス,2025-05-07,2025-08-15,70,724.1,762.2,5.26,時間切れ
1333,Ｕｍｉｏｓ,2025-05-07,2025-08-15,70,1037.4,1043.9,0.62,時間切れ
1721,コムシスホールディングス,2025-05-07,2025-08-15,70,3141.2,3548.8,12.98,時間切れ
1786,オリエンタル白石,2025-05-07,2025-08-15,70,367.5,411.8,12.07,時間切れ
3107,ダイワボウホールディングス,2025-08-15,2025-11-28,70,2963.4,2987.4,0.81,時間切れ
1975,朝日工業社,2025-08-15,2025-11-28,70,2930.6,3123.0,6.57,時間切れ
1605,ＩＮＰＥＸ,2025-08-15,2025-11-28,70,2304.8,3278.0,42.23,時間切れ
5105,ＴＯＹＯ　ＴＩＲＥ,2025-08-15,2025-11-28,70,3532.2,4226.1,19.64,時間切れ
5602,栗本鐵工所,2025-08-15,2025-11-28,70,1488.5,1770.0,18.91,時間切れ
7261,マツダ,2025-11-28,2026-03-16,70,1112.5,1114.4,0.17,時間切れ
5816,オーナンバ,2025-11-28,2026-03-16,70,1450.1,1736.0,19.72,時間切れ
4433,ヒト・コミュニケーションズ・ホールディングス,2025-11-28,2026-03-16,70,1022.4,925.0,-9.52,時間切れ
4569,杏林製薬,2025-11-28,2026-03-16,70,1481.7,1591.2,7.39,時間切れ
4634,ａｒｔｉｅｎｃｅ,2025-11-28,2026-03-16,70,3381.0,3880.0,14.76,時間切れ
8616,東海東京フィナンシャル・ホールディングス,2026-04-14,2026-06-11,37,757.0,713.0,-5.81,期末
8014,蝶理,2026-04-14,2026-06-11,37,4455.0,3875.0,-13.02,期末
8097,三愛オブリ,2026-04-14,2026-06-11,37,2352.0,2089.0,-11.18,期末
2659,サンエー,2026-04-14,2026-06-11,37,3375.0,3225.0,-4.44,期末
3107,ダイワボウホールディングス,2026-04-14,2026-06-11,37,3137.0,3425.0,9.18,期末
