code,name,entry,exit,held_days,entry_px,exit_px,return,reason
4499,Ｓｐｅｅｅ,2025-01-06,2025-03-06,40,5300.0,2431.0,-54.13,トレール
3562,Ｎｏ．１,2025-01-06,2025-03-06,40,1838.9,1621.3,-11.83,トレール
1965,テクノ菱和,2025-01-06,2025-04-04,60,2571.1,2326.4,-9.52,トレール
5801,古河電気工業,2025-01-06,2025-04-04,60,6841.9,4317.4,-36.9,トレール
1975,朝日工業社,2025-01-06,2025-04-04,60,2094.6,1712.3,-18.25,トレール
4935,リベルタ,2025-01-06,2025-04-18,70,1072.0,264.9,-75.29,時間切れ
3350,メタプラネット,2025-01-06,2025-04-18,70,357.5,353.0,-1.26,時間切れ
3696,セレス,2025-01-06,2025-04-18,70,2996.3,2031.5,-32.2,時間切れ
4124,大阪油化工業,2025-01-06,2025-04-18,70,3135.7,2057.8,-34.37,時間切れ
7097,さくらさくプラス,2025-01-06,2025-04-18,70,2096.2,2074.8,-1.02,時間切れ
4784,ＧＭＯインターネット,2025-01-06,2025-04-18,70,980.6,2517.0,156.67,時間切れ
5535,ミガロホールディングス,2025-01-06,2025-04-18,70,692.1,1049.4,51.62,時間切れ
3825,リミックスポイント,2025-01-06,2025-04-18,70,351.1,338.4,-3.62,時間切れ
7378,アシロ,2025-01-06,2025-04-18,70,1658.6,1585.0,-4.44,時間切れ
6135,牧野フライス製作所,2025-01-06,2025-04-18,70,11077.5,11348.4,2.45,時間切れ
6834,精工技研,2025-01-06,2025-04-18,70,5513.8,3148.1,-42.91,時間切れ
9556,ＩＮＴＬＯＯＰ,2025-01-06,2025-04-18,70,3055.0,2390.0,-21.77,時間切れ
7220,武蔵精密工業,2025-01-06,2025-04-18,70,3895.2,2139.1,-45.09,時間切れ
219A,Ｈｅａｒｔｓｅｅｄ,2025-01-06,2025-04-18,70,2974.0,2270.0,-23.67,時間切れ
7760,ＩＭＶ,2025-01-06,2025-04-18,70,1215.1,1440.6,18.56,時間切れ
6836,ぷらっとホーム,2025-04-18,2025-05-07,10,1620.0,740.0,-54.32,トレール
6135,牧野フライス製作所,2025-04-18,2025-05-21,20,11348.4,9375.6,-17.38,トレール
1491,中外鉱業,2025-03-06,2025-06-18,70,1401.1,1000.0,-28.63,時間切れ
5161,西川ゴム工業,2025-04-04,2025-07-16,70,2047.3,2589.5,26.48,時間切れ
5029,サークレイス,2025-04-04,2025-07-16,70,1035.0,1275.0,23.19,時間切れ
218A,Ｌｉｂｅｒａｗａｒｅ,2025-04-04,2025-07-16,70,873.0,1761.0,101.72,時間切れ
4784,ＧＭＯインターネット,2025-04-18,2025-07-31,70,2517.0,1504.2,-40.24,時間切れ
278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,2025-04-18,2025-07-31,70,7840.0,4475.0,-42.92,時間切れ
276A,ククレブ・アドバイザーズ,2025-04-18,2025-07-31,70,3738.7,5882.2,57.33,時間切れ
3137,ファンデリー,2025-04-18,2025-07-31,70,349.5,216.5,-38.05,時間切れ
4592,サンバイオ,2025-04-18,2025-07-31,70,2399.0,2315.0,-3.5,時間切れ
7115,アルファパーチェス,2025-04-18,2025-07-31,70,2215.5,3107.4,40.26,時間切れ
4892,サイフューズ,2025-04-18,2025-07-31,70,1039.0,653.0,-37.15,時間切れ
7273,イクヨ,2025-04-18,2025-07-31,70,415.8,796.9,91.65,時間切れ
3135,マーケットエンタープライズ,2025-04-18,2025-07-31,70,1507.0,1608.0,6.7,時間切れ
4676,フジ・メディア・ホールディングス,2025-04-18,2025-07-31,70,3043.1,3453.1,13.47,時間切れ
9425,ＲｅＹｕｕ　Ｊａｐａｎ,2025-04-18,2025-07-31,70,576.0,604.0,4.86,時間切れ
3692,ＦＦＲＩセキュリティ,2025-04-18,2025-07-31,70,3392.6,6216.5,83.24,時間切れ
4013,勤次郎,2025-04-18,2025-07-31,70,655.6,988.9,50.83,時間切れ
5136,ｔｒｉｐｌａ,2025-04-18,2025-07-31,70,2430.0,2210.0,-9.05,時間切れ
4889,レナサイエンス,2025-05-21,2025-08-29,70,1853.0,2155.0,16.3,時間切れ
3350,メタプラネット,2025-07-02,2025-10-15,70,1560.0,460.0,-70.51,時間切れ
5892,ｙｕｔｏｒｉ,2025-07-31,2025-10-15,50,4530.0,3415.0,-24.61,トレール
2334,イオレ,2025-07-16,2025-10-29,70,353.5,308.5,-12.73,時間切れ
3905,データセクション,2025-07-16,2025-10-29,70,3285.0,1710.0,-47.95,時間切れ
