code,name,entry,exit,held_days,entry_px,exit_px,return,reason
7172,ジャパンインベストメントアドバイザー,2024-07-01,2024-08-14,30,1544.9,1033.7,-33.09,トレール
5216,倉元製作所,2024-07-01,2024-10-01,62,438.0,281.0,-35.84,期末
5535,ミガロホールディングス,2024-07-01,2024-10-01,62,543.1,417.7,-23.09,期末
3815,メディア工房,2024-07-01,2024-10-01,62,642.0,425.0,-33.8,期末
3469,デュアルタップ,2024-07-01,2024-10-01,62,984.5,1028.0,4.42,期末
4884,クリングルファーマ,2024-07-01,2024-10-01,62,1035.0,875.0,-15.46,期末
5246,ＥＬＥＭＥＮＴＳ,2024-07-01,2024-10-01,62,1739.0,708.0,-59.29,期末
1436,グリーンエナジー＆カンパニー,2024-07-01,2024-10-01,62,670.8,926.2,38.07,期末
4784,ＧＭＯインターネット,2024-07-01,2024-10-01,62,730.2,447.7,-38.69,期末
8708,アイザワ証券グループ,2024-07-01,2024-10-01,62,2354.9,1662.9,-29.39,期末
6834,精工技研,2024-07-01,2024-10-01,62,2895.7,3268.9,12.89,期末
4894,クオリプス,2024-07-01,2024-10-01,62,7030.0,9230.0,31.29,期末
5026,トリプルアイズ,2024-07-01,2024-10-01,62,1337.0,1716.0,28.35,期末
415A,ＧＭＯ　ＴＥＣＨホールディングス,2024-07-01,2024-10-01,62,9693.4,7705.3,-20.51,期末
6620,宮越ホールディングス,2024-07-01,2024-10-01,62,2135.0,1983.0,-7.12,期末
6638,ミマキエンジニアリング,2024-07-01,2024-10-01,62,1767.9,1353.2,-23.46,期末
5889,Ｊａｐａｎ　Ｅｙｅｗｅａｒ　Ｈｏｌｄｉｎｇｓ,2024-07-01,2024-10-01,62,2759.9,2778.1,0.66,期末
3189,ＡＮＡＰホールディングス,2024-07-01,2024-10-01,62,406.0,266.0,-34.48,期末
7776,セルシード,2024-07-01,2024-10-01,62,434.0,701.0,61.52,期末
4592,サンバイオ,2024-07-01,2024-10-01,62,1218.0,1315.0,7.96,期末
