code,name,entry,exit,held_days,entry_px,exit_px,return,reason
5482,愛知製鋼,2025-01-06,2025-02-04,20,1209.2,1542.7,27.57,drop急騰
1975,朝日工業社,2025-01-06,2025-04-04,60,2094.6,1712.3,-18.25,トレール
3261,グランディーズ,2025-01-06,2025-12-26,240,1011.5,647.0,-36.04,トレール
9362,兵機海運,2025-01-06,2026-01-29,260,3549.5,3569.2,0.55,時間切れ
8219,青山商事,2025-01-06,2026-01-29,260,662.1,832.9,25.79,時間切れ
6197,ソラスト,2026-01-29,2026-02-13,10,880.0,933.0,6.02,drop急騰
3562,Ｎｏ．１,2025-02-04,2026-03-02,260,1981.6,1683.0,-15.07,トレール
7940,ウェーブロックホールディングス,2026-01-29,2026-03-16,30,1354.0,1068.0,-21.12,トレール
5161,西川ゴム工業,2025-04-04,2026-04-28,260,2047.3,3235.0,58.01,トレール
1871,ピーエス・コンストラクション,2026-02-13,2026-05-18,60,3120.0,2244.0,-28.08,トレール
8715,アニコム　ホールディングス,2026-03-16,2026-05-18,40,1314.5,1295.0,-1.48,drop急騰
6471,日本精工,2026-03-02,2026-06-11,67,1386.2,1077.0,-22.31,期末
5208,有沢製作所,2026-04-28,2026-06-11,27,2741.0,2163.0,-21.09,期末
3294,イーグランド,2026-05-18,2026-06-11,17,4800.0,4835.0,0.73,期末
7384,プロクレアホールディングス,2026-05-18,2026-06-11,17,3625.0,3675.0,1.38,期末
