code,name,entry,exit,held_days,entry_px,exit_px,return,reason
4935,リベルタ,2025-01-06,2025-02-04,20,1072.0,278.8,-73.99,相場退避
4499,Ｓｐｅｅｅ,2025-01-06,2025-02-04,20,5300.0,2955.0,-44.25,相場退避
3350,メタプラネット,2025-01-06,2025-02-04,20,357.5,495.0,38.46,相場退避
3696,セレス,2025-01-06,2025-02-04,20,2996.3,2732.8,-8.8,相場退避
4124,大阪油化工業,2025-01-06,2025-02-04,20,3135.7,3135.7,0.0,相場退避
3350,メタプラネット,2025-02-19,2025-03-06,10,612.0,445.0,-27.29,相場退避
3825,リミックスポイント,2025-02-19,2025-03-06,10,669.9,612.2,-8.61,相場退避
5535,ミガロホールディングス,2025-02-19,2025-03-06,10,1607.4,986.3,-38.64,相場退避
4889,レナサイエンス,2025-02-19,2025-03-06,10,1324.0,1179.0,-10.95,相場退避
5161,西川ゴム工業,2025-02-19,2025-03-06,10,2195.2,2165.6,-1.35,相場退避
278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,2025-05-07,2025-12-12,150,6940.0,2339.0,-66.3,トレール
276A,ククレブ・アドバイザーズ,2025-05-07,2025-12-12,150,3803.5,2687.0,-29.35,トレール
4784,ＧＭＯインターネット,2025-05-07,2026-03-16,210,2565.3,731.0,-71.5,相場退避
4592,サンバイオ,2025-05-07,2026-03-16,210,2317.0,2020.0,-12.82,相場退避
5161,西川ゴム工業,2025-05-07,2026-03-16,210,2345.9,3896.2,66.09,相場退避
285A,キオクシアホールディングス,2025-12-12,2026-03-16,60,9890.0,22615.0,128.67,相場退避
5537,ＡｌｂａＬｉｎｋ,2026-04-14,2026-06-11,37,2738.0,2240.0,-18.19,期末
4422,ＶＡＬＵＥＮＥＸ,2026-04-14,2026-06-11,37,1000.0,752.0,-24.8,期末
3103,ユニチカ,2026-04-14,2026-06-11,37,2163.0,1172.0,-45.82,期末
6072,地盤ネットホールディングス,2026-04-14,2026-06-11,37,1006.0,1500.0,49.11,期末
6227,ＡＩメカテック,2026-04-14,2026-06-11,37,7700.0,6960.0,-9.61,期末
