code,name,entry,exit,held_days,entry_px,exit_px,return,reason
5216,倉元製作所,2024-07-01,2024-07-30,20,438.0,433.0,-1.14,相場退避
5535,ミガロホールディングス,2024-07-01,2024-07-30,20,543.1,355.6,-34.52,相場退避
3815,メディア工房,2024-07-01,2024-07-30,20,642.0,617.0,-3.89,相場退避
3469,デュアルタップ,2024-07-01,2024-07-30,20,984.5,1001.3,1.71,相場退避
4884,クリングルファーマ,2024-07-01,2024-07-30,20,1035.0,939.0,-9.28,相場退避
4894,クオリプス,2024-09-27,2024-10-01,2,9940.0,9230.0,-7.14,期末
3261,グランディーズ,2024-09-27,2024-10-01,2,1273.4,1333.9,4.75,期末
4592,サンバイオ,2024-09-27,2024-10-01,2,1182.0,1315.0,11.25,期末
6557,ＡＩＡＩグループ,2024-09-27,2024-10-01,2,1426.0,1530.0,7.29,期末
3300,アンビション　ＤＸ　ホールディングス,2024-09-27,2024-10-01,2,1902.5,1885.3,-0.9,期末
