code,name,entry,exit,held_days,entry_px,exit_px,return,reason
1879,新日本建設,2025-01-06,2025-02-19,30,1491.7,1383.6,-7.24,トレール
9362,兵機海運,2025-01-06,2025-04-04,60,3549.5,2760.4,-22.23,トレール
4221,大倉工業,2025-01-06,2025-04-04,60,2894.6,3455.3,19.37,トレール
6419,マースグループホールディングス,2025-01-06,2025-04-04,60,3106.8,2839.9,-8.59,トレール
1938,日本リーテック,2025-01-06,2026-01-29,260,1173.4,2161.1,84.18,時間切れ
3393,スターティアホールディングス,2025-04-04,2026-02-13,210,1885.9,2595.4,37.62,トレール
4028,石原産業,2026-01-29,2026-03-16,30,2810.6,3039.4,8.14,トレール
1976,明星工業,2025-04-04,2026-03-31,240,1168.8,1717.0,46.9,トレール
3284,フージャースホールディングス,2025-04-04,2026-03-31,240,994.2,1190.0,19.7,トレール
9441,ベルパーク,2026-03-16,2026-05-18,40,2758.0,2746.0,-0.44,トレール
8142,トーホー,2026-02-13,2026-06-11,77,1343.0,1281.0,-4.62,期末
7516,コーナン商事,2026-03-16,2026-06-11,57,4180.0,4125.0,-1.32,期末
5603,虹技,2026-03-31,2026-06-11,47,1408.0,1178.0,-16.34,期末
7337,ひろぎんホールディングス,2026-05-18,2026-06-11,17,2023.0,2048.0,1.24,期末
6448,ブラザー工業,2026-06-01,2026-06-11,7,3728.0,3760.0,0.86,期末
