code,name,entry,exit,held_days,entry_px,exit_px,return,reason
6718,アイホン,2024-07-01,2024-07-30,20,2876.6,2758.1,-4.12,相場退避
9856,ケーユーホールディングス,2024-07-01,2024-07-30,20,1165.3,1078.0,-7.5,相場退避
8425,みずほリース,2024-07-01,2024-07-30,20,1046.2,1026.0,-1.94,相場退避
8624,いちよし証券,2024-07-01,2024-07-30,20,756.8,707.1,-6.56,相場退避
8881,日神グループホールディングス,2024-07-01,2024-07-30,20,521.5,498.7,-4.38,相場退避
8014,蝶理,2024-09-27,2024-10-01,2,3555.5,3607.2,1.46,期末
9104,商船三井,2024-09-27,2024-10-01,2,4730.0,4656.2,-1.56,期末
2109,ＤＭ三井製糖,2024-09-27,2024-10-01,2,3177.8,3163.6,-0.45,期末
1928,積水ハウス,2024-09-27,2024-10-01,2,3867.5,3783.9,-2.16,期末
6535,アイモバイル,2024-09-27,2024-10-01,2,495.2,512.4,3.49,期末
